epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5605,0,491.533,0,0,0,0,0,0,276.281,0,0.0901,0.0001,0.0001
2,38.7222,0,293.137,0,0,0,0,0,0,0.07422,0,0.0792048,0.000204803,0.000204803
1,25.1247,0,491.526,0,0,0,0,0,0,276.219,0,0.0901,0.0001,0.0001
2,41.0906,0,293.34,0,0,0,0,0,0,0.00098,0,0.0792048,0.000204803,0.000204803
1,29.663,2.20822,3.91719,1.79969,0.00411,0.32713,0.02103,0.00642,2.067,3.66758,1.55623,0.0901,0.0001,0.0001
2,46.4622,1.48189,2.20807,1.13238,0.00335,0.26667,0.11054,0.04144,2.20675,3.71551,1.7244,0.0792048,0.000204803,0.000204803
3,61.0028,1.34158,1.45838,1.07595,0.01659,0.45577,0.28169,0.13224,1.66506,3.33966,1.2589,0.0683042,0.00030416,0.00030416
4,75.2907,1.28457,1.18344,1.0375,0.1255,0.64145,0.4152,0.21157,1.59704,2.99192,1.19373,0.0573981,0.000398073,0.000398073
5,91.2971,1.27667,1.05935,1.03139,0.23521,0.70526,0.46407,0.24161,1.52473,2.99773,1.17905,0.0464865,0.00048654,0.00048654
6,105.316,1.21912,0.92901,1.02177,0.22892,0.66291,0.47892,0.30445,1.20614,2.48935,1.02982,0.0355696,0.000569562,0.000569562
7,120.416,1.18105,0.85126,1.00533,0.91074,0.34756,0.55951,0.33515,1.19973,1.91067,1.02565,0.0246471,0.00064714,0.00064714
8,134.873,1.17193,0.8194,1.00781,0.93532,0.3807,0.66653,0.38224,1.24812,1.79275,1.07149,0.0137193,0.000719273,0.000719273
9,149.201,1.16162,0.79877,1.00677,0.81944,0.51848,0.66101,0.38252,1.16917,1.48674,1.02689,0.00278596,0.00078596,0.00078596
10,164.644,1.16594,0.7675,0.99967,0.91501,0.51121,0.72095,0.44076,1.16972,1.36352,1.01384,0.00077725,0.00077725,0.00077725
11,179.13,1.16436,0.74568,0.98776,0.84085,0.5317,0.68243,0.44256,1.10695,1.25424,0.99194,0.0007525,0.0007525,0.0007525
12,195.15,1.13867,0.72483,0.98523,0.85934,0.55413,0.73218,0.47436,1.10546,1.19881,0.98555,0.00072775,0.00072775,0.00072775
